GeneName	SRR3884631	SRR3884677	SRR3884679	SRR3884597	SRR3884687	SRR3884686	SRR3884689	SRR3884690	SRR3884685	SRR3884675
SmelCyclo01	913075.6875	980609.625	944398.625	946417.125	873296	852080.0625	975742.4375	978411.8125	953023.4375	962139
SmelGRF_01.230	0	0	1472.134155	1265.650513	2575.107178	5655.411621	0	0	2596.87085	0
SmelGRF_01.300	0	0	0	1372.271851	18900.51367	0	0	0	0	0
SmelGRF_02		0	945.64325	445.424225	2312.034424	5769.328125	1046.743774	0	5689.84375	1442.786987
SmelGRF_03	1093.161133	0	0	0	1001.350159	1709.652222	0	0	0	0
SmelGRF_03_+	1148.340088	0	275.216522	498.771088	1576.300049	1776.271973	0	0	0	0
SmelGRF_04	14797.81738	1545.064575	1839.468018	12199.98633	1180.216553	9000.144531	408.966858	0	3684.250488	4862.844727
SmelGRF_05	1051.842651	816.348816	1308.916138	642.447754	0	2304.880615	845.5401	0	789.545776	0
SmelGRF_05_-	0	0	0	0	0	2441.874268	0	0	0	0
SmelGRF_07	0	0	974.383606	356.862427	3861.20459	11916.22754	0	0	0	492.764374
SmelGRF_08.140	2201.779297		1073.350586	676.09021	1836.622681	2996.592773	931.37262	704.394104	878.919495	707.09729
SmelGRF_08.800	0	1252.206787	709.922363	288.489899	2681.563721	4586.19873	1252.433594	0	1442.236328	773.009155
SmelGRF_08.890	3390.977539	0	2526.996338	987.445312	2203.493896	4523.625488	1378.680542	1589.791382	2342.145752	2115.51709
SmelGRF_09.160	0	0	0	801.475769	876.505737	2286.094482	0	0	968.210632	479.911865
SmelGRF_10.710	763.493286	2709.98999	1552.141357	1222.015015	1142.637817	3871.48999	0	963.325989	4801.307129	1461.779297
SmelGRF_10.940				2316.452881	33701.88672	827.902039	0	915.648193	0	0
