Gene ID	Gene Name	Reference
STRG.1	-	SmelGRF_01.230
STRG.2	-	SmelGRF_10.710
STRG.3	-	SmelGRF_10.940
STRG.4	-	SmelGRF_02
STRG.5	-	SmelGRF_03
STRG.6	-	SmelGRF_03
STRG.7	-	SmelGRF_04
STRG.8	-	SmelGRF_05
STRG.9	-	SmelGRF_05
STRG.10	-	SmelGRF_07
STRG.11	-	SmelGRF_08.800
STRG.12	-	SmelGRF_08.140
STRG.13	-	SmelGRF_08.890
STRG.14	-	SmelGRF_09.160
STRG.15	-	SmelGIF_11.070
STRG.16	-	SmelGIF_11.650
STRG.17	-	SmelGIF_03
STRG.18	-	SmelGIF_04
STRG.19	-	SmelCyclo01

MSTRG.1	-	SmelGRF_01.230
MSTRG.2	-	SmelGRF_10.710
MSTRG.3	-	SmelGRF_10.940
MSTRG.4	-	SmelGRF_02
MSTRG.5	-	SmelGRF_03
MSTRG.6	-	SmelGRF_03
MSTRG.7	-	SmelGRF_04
MSTRG.8	-	SmelGRF_05
MSTRG.9	-	SmelGRF_05
MSTRG.10	-	SmelGRF_07
MSTRG.11	-	SmelGRF_08.800
MSTRG.12	-	SmelGRF_08.140
MSTRG.13	-	SmelGRF_08.890
MSTRG.14	-	SmelGRF_09.160
MSTRG.15	-	SmelGIF_11.070
MSTRG.16	-	SmelGIF_11.650
MSTRG.17	-	SmelGIF_03
MSTRG.18	-	SmelGIF_04
MSTRG.19	-	SmelCyclo01
