Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SmelGRF_01.300	+	1	891	103.762733	32852.421875	18900.513672
STRG.2	-	SmelGRF_01.230	.	51	1260	14.054545	4475.989746	2575.107178
STRG.3	-	SmelGRF_10.710	.	84	1028	6.273016	1986.105835	1142.637817
STRG.4	-	SmelGRF_10.940	.	1	840	185.021423	58579.816406	33701.886719
STRG.5	-	SmelGRF_02	.	1	1713	12.692936	4018.722900	2312.034424
STRG.6	-	SmelGRF_03	+	129	1437	5.497355	1740.522949	1001.350159
STRG.7	-	SmelGRF_04	.	244	1797	8.653796	2739.887451	1576.300049
STRG.8	-	SmelGRF_05	.	26	1783	6.479321	2051.424316	1180.216553
STRG.9	-	SmelGRF_07	.	1	996	21.197792	6711.453613	3861.204590
STRG.10	-	SmelGRF_08.800	.	1	1128	14.721631	4661.030273	2681.563721
STRG.11	-	SmelGRF_08.140	.	701	1548	10.082953	3192.373779	1836.622681
STRG.12	-	SmelGRF_08.890	.	8	924	12.097055	3830.060791	2203.493896
STRG.13	-	SmelGRF_09.160	.	43	1095	4.811966	1523.521362	876.505737
STRG.14	-	SmelGIF_11.070	.	1	630	145.023804	45916.132812	26416.269531
STRG.15	-	SmelGIF_11.650	.	1	647	13.389490	4239.259766	2438.912598
STRG.16	-	SmelGIF_03	.	1	609	73.418716	23245.173828	13373.312500
STRG.17	-	SmelGIF_04	.	1	600	58.336666	18470.029297	10626.097656
STRG.18	-	SmelCyclo01	.	1	516	4794.344727	1517942.250000	873296.000000
