Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.8	-	SmelDMP_01.990	.	1	537	1.871508	452.700775	240.356216
MSTRG.10	-	SmelDMP_01.730	.	1	687	30.228529	7312.006348	3882.224854
MSTRG.7	-	SmelDMP_12	.	1	636	3.496855	845.857422	449.098206
MSTRG.9	-	SmelDMP_02_SMEL4.1_02g015810.1.01	.	1	630	107.896828	26099.261719	13857.099609
MSTRG.2	-	Smel18s_06.900	.	1	966	84.953415	20549.458984	10910.497070
MSTRG.3	-	SmelCyclo_01	.	1	516	7557.945801	1828198.375000	970660.750000
MSTRG.1	.	SmelDMP10.200_Exon2	.	1	363	0.0	0.0	0.0
MSTRG.4	.	SmelDMP_10.200	.	2	666	0.0	0.0	0.0
MSTRG.5	.	SmelDMP_10.200_CDS1_Exon1	.	2	443	0.0	0.0	0.0
MSTRG.6	.	SmelDMP_04	.	109	384	0.0	0.0	0.0
