Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.10	-	SmelGRF_01.230	.	1	1260	0.480952	128.477829	67.482674
MSTRG.6	-	SmelGRF_10.710	.	1	1032	5.862402	1566.037231	822.557312
MSTRG.11	-	SmelGRF_02	.	1	1713	2.708698	723.580872	380.059113
MSTRG.2	-	SmelGRF_04	.	1	1797	10.908180	2913.927734	1530.533569
MSTRG.12	-	SmelGRF_08.800	.	1	1128	3.649823	974.985779	512.108948
MSTRG.13	-	SmelGRF_05	-	1	1841	5.207499	1391.091431	730.667480
MSTRG.9	-	SmelGRF_08.140	+	51	1548	5.380929	1437.420166	755.001526
MSTRG.3	-	SmelGRF_08.890	.	1	924	7.705628	2058.422607	1081.181519
MSTRG.4	-	SmelGRF_09.160	.	27	1095	0.376052	100.455650	52.764091
MSTRG.1	-	SmelCyclo01	.	1	516	7084.763672	1892569.500000	994067.625000
MSTRG.5	.	SmelGRF_10.940	.	1	840	0.0	0.0	0.0
MSTRG.7	.	SmelGRF_03	+	1	1437	0.0	0.0	0.0
MSTRG.8	.	SmelGRF_01.300	+	1	891	0.0	0.0	0.0
MSTRG.14	.	SmelGRF_07	.	1	996	0.0	0.0	0.0
